 Simulations on a model of relief
 2.5000
 11
 1
 Type of measurement (0=app.resistivity,1=resistance)
 0
        1560
 1
 0
3      0.00000     6.19402     2.50000     6.19402     5.00000     6.19402        10.172989
3      0.00000     6.19402     5.00000     6.19402     7.50000     6.19402        10.710253
3      0.00000     6.19402     7.50000     6.19402    10.00000     6.19402        11.642828
3      0.00000     6.19402    10.00000     6.19402    12.50000     6.19402        12.907583
3      0.00000     6.19402    12.50000     6.19402    15.00000     6.19402        14.379601
3      0.00000     6.19402    15.00000     6.19402    17.50000     6.19402        15.915653
3      0.00000     6.19402    17.50000     6.19402    20.00000     6.19402        17.391862
3      0.00000     6.19402    20.00000     6.19402    22.50000     6.19402        18.724340
3      0.00000     6.19402    22.50000     6.19402    25.00000     6.19402        19.872398
3      0.00000     6.19402    25.00000     6.19402    27.50000     6.19402        20.830322
3      0.00000     6.19402    27.50000     6.19402    30.00000     6.19402        21.614789
3      0.00000     6.19402    30.00000     6.19402    32.50000     6.19402        22.252806
3      0.00000     6.19402    32.50000     6.19402    35.00000     6.19402        22.772646
3      0.00000     6.19402    35.00000     6.19402    37.50000     6.19402        23.198628
3      0.00000     6.19402    37.50000     6.19402    40.00000     6.19402        23.549576
3      0.00000     6.19402    40.00000     6.19402    42.50000     6.19402        23.839793
3      0.00000     6.19402    42.50000     6.19402    45.00000     6.19402        24.080718
3      0.00000     6.19402    45.00000     6.19402    47.50000     6.19402        24.281738
3      0.00000     6.19402    47.50000     6.19402    50.00000     6.19402        24.449920
3      0.00000     6.19402    50.00000     6.19402    52.50000     6.19402        24.589664
3      0.00000     6.19402    52.50000     6.19402    55.00000     6.19402        24.703381
3      0.00000     6.19402    55.00000     6.19402    57.50000     6.19402        24.793147
3      0.00000     6.19402    57.50000     6.19402    60.00000     6.19402        24.862080
3      0.00000     6.19402    60.00000     6.19402    62.50000     6.19402        24.914214
3      0.00000     6.19402    62.50000     6.19402    65.00000     6.19402        24.952995
3      0.00000     6.19402    65.00000     6.19402    67.50000     6.19402        24.979898
3      0.00000     6.19402    67.50000     6.19402    70.00000     6.19402        24.994662
3      0.00000     6.19402    70.00000     6.19402    72.50000     6.19402        24.997083
3      0.00000     6.19402    72.50000     6.19402    75.00000     6.19402        24.988734
3      0.00000     6.19402    75.00000     6.19402    77.50000     6.19402        24.972891
3      0.00000     6.19402    77.50000     6.19402    80.00000     6.19402        24.952626
3      0.00000     6.19402    80.00000     6.19402    82.50000     6.19402        24.928816
3      0.00000     6.19402    82.50000     6.19402    85.00000     6.19402        24.900067
3      0.00000     6.19402    85.00000     6.19402    87.50000     6.19402        24.864757
3      0.00000     6.19402    87.50000     6.19402    90.00000     6.19402        24.823362
3      0.00000     6.19402    90.00000     6.19402    92.50000     6.19402        24.778794
3      0.00000     6.19402    92.50000     6.19402    95.00000     6.19402        24.734311
3      0.00000     6.19402    95.00000     6.19402    97.50000     6.19402        24.690891
3      0.00000     6.19402    97.50000     6.19402   100.00000     6.19402        24.646600
3      2.50000     6.19402     5.00000     6.19402     7.50000     6.19402        10.236751
3      2.50000     6.19402     7.50000     6.19402    10.00000     6.19402        10.821414
3      2.50000     6.19402    10.00000     6.19402    12.50000     6.19402        11.744550
3      2.50000     6.19402    12.50000     6.19402    15.00000     6.19402        12.919734
3      2.50000     6.19402    15.00000     6.19402    17.50000     6.19402        14.225467
3      2.50000     6.19402    17.50000     6.19402    20.00000     6.19402        15.543896
3      2.50000     6.19402    20.00000     6.19402    22.50000     6.19402        16.785598
3      2.50000     6.19402    22.50000     6.19402    25.00000     6.19402        17.897918
3      2.50000     6.19402    25.00000     6.19402    27.50000     6.19402        18.861173
3      2.50000     6.19402    27.50000     6.19402    30.00000     6.19402        19.678991
3      2.50000     6.19402    30.00000     6.19402    32.50000     6.19402        20.367759
3      2.50000     6.19402    32.50000     6.19402    35.00000     6.19402        20.947983
3      2.50000     6.19402    35.00000     6.19402    37.50000     6.19402        21.438811
3      2.50000     6.19402    37.50000     6.19402    40.00000     6.19402        21.855879
3      2.50000     6.19402    40.00000     6.19402    42.50000     6.19402        22.211582
3      2.50000     6.19402    42.50000     6.19402    45.00000     6.19402        22.516194
3      2.50000     6.19402    45.00000     6.19402    47.50000     6.19402        22.778397
3      2.50000     6.19402    47.50000     6.19402    50.00000     6.19402        23.004928
3      2.50000     6.19402    50.00000     6.19402    52.50000     6.19402        23.200172
3      2.50000     6.19402    52.50000     6.19402    55.00000     6.19402        23.366710
3      2.50000     6.19402    55.00000     6.19402    57.50000     6.19402        23.506786
3      2.50000     6.19402    57.50000     6.19402    60.00000     6.19402        23.623573
3      2.50000     6.19402    60.00000     6.19402    62.50000     6.19402        23.721077
3      2.50000     6.19402    62.50000     6.19402    65.00000     6.19402        23.802764
3      2.50000     6.19402    65.00000     6.19402    67.50000     6.19402        23.870276
3      2.50000     6.19402    67.50000     6.19402    70.00000     6.19402        23.923615
3      2.50000     6.19402    70.00000     6.19402    72.50000     6.19402        23.962802
3      2.50000     6.19402    72.50000     6.19402    75.00000     6.19402        23.989485
3      2.50000     6.19402    75.00000     6.19402    77.50000     6.19402        24.006898
3      2.50000     6.19402    77.50000     6.19402    80.00000     6.19402        24.018087
3      2.50000     6.19402    80.00000     6.19402    82.50000     6.19402        24.024040
3      2.50000     6.19402    82.50000     6.19402    85.00000     6.19402        24.023592
3      2.50000     6.19402    85.00000     6.19402    87.50000     6.19402        24.015342
3      2.50000     6.19402    87.50000     6.19402    90.00000     6.19402        23.999842
3      2.50000     6.19402    90.00000     6.19402    92.50000     6.19402        23.979940
